Episode,Total Reward,Steps,Epsilon,Loss,Success Rate,Avg Waiting Time,Throughput
1,-93436.42799999993,720,1.0,1990.3192138671875,1.0,111.72727272727273,2
2,-68998.01,720,0.99,841.4556274414062,1.0,338.57142857142856,0
3,-64756.74400000005,720,0.9801,3678.954833984375,1.0,23.279999999999998,2
4,-52742.185999999994,720,0.9702989999999999,1939.4263916015625,1.0,464.12857142857143,2
5,-54856.77800000004,720,0.96059601,742.6787109375,1.0,277.85714285714283,2
6,-92118.51200000005,720,0.9509900498999999,904.647705078125,1.0,410.80000000000007,0
7,-57434.197999999946,720,0.9414801494009999,2089.510986328125,1.0,73.12727272727273,1
8,-66556.77199999998,720,0.9320653479069899,2754.216064453125,1.0,80.6888888888889,0
9,-85084.40199999994,720,0.92274469442792,1193.4827880859375,1.0,371.6666666666668,2
10,-56351.109999999964,720,0.9135172474836407,1231.55419921875,1.0,526.6666666666666,2
11,-62625.30600000003,720,0.9043820750088043,7700.39453125,1.0,683.4363636363636,2
12,-69531.12599999996,720,0.8953382542587163,2184.169189453125,1.0,785.9999999999997,0
13,-128554.13799999985,720,0.8863848717161291,1245.826171875,1.0,458.0,2
14,-63712.94399999997,720,0.8775210229989678,1801.497802734375,1.0,0.0,0
15,-127176.8500000002,720,0.8687458127689781,3076.14697265625,1.0,319.1230769230769,4
16,-42209.067999999985,720,0.8600583546412883,2103.50341796875,1.0,561.25,4
17,-45186.76200000002,720,0.8514577710948754,2101.22216796875,1.0,647.5000000000002,0
18,-49807.432,720,0.8429431933839266,1121.73095703125,1.0,790.0,1
19,-40833.10400000001,720,0.8345137614500874,10433.6982421875,1.0,511.3666666666666,0
20,-47449.99200000001,720,0.8261686238355865,1172.881103515625,1.0,509.99999999999994,0
21,-38556.158000000025,720,0.8179069375972307,228.08253479003906,1.0,524.1666666666666,0
22,-34598.12000000001,720,0.8097278682212583,405.7479248046875,1.0,677.8571428571429,1
23,-34255.65,720,0.8016305895390458,528.3201293945312,1.0,2.6333333333333337,3
24,-34535.84400000002,720,0.7936142836436553,437.9972229003906,1.0,718.5714285714286,1
25,-27779.06400000001,720,0.7856781408072188,338.49383544921875,1.0,392.275,2
26,-28542.404,720,0.7778213593991465,377.5347900390625,1.0,172.92000000000002,2
27,-23833.076,720,0.7700431458051551,397.3988037109375,1.0,0.0,4
28,-27241.50000000003,720,0.7623427143471035,658.0345458984375,1.0,385.0,0
29,-26316.47600000002,720,0.7547192872036325,248.934814453125,1.0,777.0000000000002,2
30,-23763.14199999999,720,0.7471720943315961,168.739501953125,1.0,350.45454545454527,0
31,-23584.011999999973,720,0.7397003733882802,449.0432434082031,1.0,0.0,1
32,-24002.21999999998,720,0.7323033696543974,487.12353515625,1.0,16.628571428571426,4
33,-23942.511999999977,720,0.7249803359578534,517.6953125,1.0,130.0,2
34,-24084.40800000001,720,0.7177305325982748,471.52728271484375,1.0,0.0,2
35,-23738.238000000012,720,0.7105532272722921,549.36328125,1.0,0.0,1
36,-25715.49200000001,720,0.7034476949995692,541.10888671875,1.0,11.639999999999999,1
37,-28309.69000000002,720,0.6964132180495735,731.3780517578125,1.0,0.0,1
38,-22791.60399999998,720,0.6894490858690777,605.372802734375,1.0,18.500000000000004,2
39,-23671.211999999996,720,0.682554595010387,434.1044616699219,1.0,0.0,1
40,-20946.04399999998,720,0.6757290490602831,835.0732421875,1.0,0.0,2
41,-21439.23,720,0.6689717585696803,269.23382568359375,1.0,0.0,0
42,-22085.66400000003,720,0.6622820409839835,414.843994140625,1.0,0.0,3
43,-21850.086000000014,720,0.6556592205741436,428.6145935058594,1.0,417.5,1
44,-25797.10199999999,720,0.6491026283684022,625.5513916015625,1.0,420.0,0
45,-23408.521999999994,720,0.6426116020847181,315.39581298828125,1.0,0.0,2
46,-19229.025999999976,720,0.6361854860638709,403.78533935546875,1.0,213.125,0
47,-21835.071999999967,720,0.6298236312032323,469.1575927734375,1.0,0.0,3
48,-20368.020000000008,720,0.6235253948912,308.57159423828125,1.0,0.0,2
49,-22963.95800000003,720,0.617290140942288,373.31195068359375,1.0,0.0,1
50,-19899.966000000022,720,0.6111172395328651,372.03179931640625,1.0,0.0,1
51,-19754.034,720,0.6050060671375365,367.3060302734375,1.0,0.0,1
52,-19437.836000000003,720,0.5989560064661611,116.86587524414062,1.0,385.0,1
53,-18266.468000000015,720,0.5929664464014994,265.1607666015625,1.0,0.0,4
54,-20890.18599999997,720,0.5870367819374844,2196.83740234375,1.0,290.58181818181816,0
55,-19594.043999999987,720,0.5811664141181095,293.37298583984375,1.0,0.0,0
56,-18168.101999999977,720,0.5753547499769285,175.61334228515625,1.0,0.0,4
57,-17884.90000000001,720,0.5696012024771592,266.25738525390625,1.0,0.0,3
58,-17270.747999999974,720,0.5639051904523876,219.57870483398438,1.0,0.0,2
59,-18521.01199999998,720,0.5582661385478638,259.0068664550781,1.0,616.0,2
60,-17778.027999999977,720,0.5526834771623851,318.71527099609375,1.0,0.0,3
61,-17298.61,720,0.5471566423907612,158.40553283691406,1.0,0.0,3
62,-20317.320000000003,720,0.5416850759668536,207.98883056640625,1.0,385.0,2
63,-20349.126000000007,720,0.536268225207185,146.4012451171875,1.0,14.549999999999999,0
64,-19974.34399999997,720,0.5309055429551132,202.33770751953125,1.0,0.0,2
65,-21417.572000000007,720,0.525596487525562,113.50733184814453,1.0,437.14285714285705,1
66,-19007.365999999995,720,0.5203405226503064,132.21365356445312,1.0,342.5,2
67,-19918.599999999966,720,0.5151371174238033,108.75775909423828,1.0,14.549999999999999,0
68,-18963.156000000003,720,0.5099857462495653,161.33883666992188,1.0,385.0,0
69,-21822.288,720,0.5048858887870696,326.91754150390625,1.0,422.5,1
70,-19701.878,720,0.4998370298991989,2842.33740234375,1.0,0.0,1
71,-17189.32599999999,720,0.49483865960020695,189.54336547851562,1.0,0.0,2
72,-17684.754000000004,720,0.4898902730042049,130.86181640625,1.0,0.0,0
73,-16517.854000000014,720,0.48499137027416284,307.70953369140625,1.0,308.0,1
74,-18126.831999999988,720,0.4801414565714212,218.65151977539062,1.0,0.0,2
75,-18508.42199999998,720,0.475340042005707,170.83770751953125,1.0,0.0,2
76,-17715.951999999987,720,0.47058664158564995,289.59405517578125,1.0,0.0,2
77,-19463.465999999986,720,0.4658807751697934,121.76762390136719,1.0,0.0,2
78,-17459.237999999983,720,0.4612219674180955,134.85205078125,1.0,0.0,2
79,-17223.74399999998,720,0.45660974774391455,252.04925537109375,1.0,0.0,4
80,-16719.595999999983,720,0.4520436502664754,214.70587158203125,1.0,0.0,2
81,-17305.255999999998,720,0.44752321376381066,139.87985229492188,1.0,178.64000000000001,2
82,-16123.995999999997,720,0.44304798162617254,135.6444854736328,1.0,19.4,2
83,-15954.371999999983,720,0.4386175018099108,172.14739990234375,1.0,19.4,1
84,-18299.55399999997,720,0.4342313267918117,141.47760009765625,1.0,0.0,2
85,-15339.66999999998,720,0.4298890135238936,120.0417709350586,1.0,0.0,1
86,-17509.895999999997,720,0.42559012338865465,3071.810791015625,1.0,0.0,0
87,-16004.997999999994,720,0.4213342221547681,152.82717895507812,1.0,0.0,1
88,-16394.771999999994,720,0.41712087993322045,136.1607666015625,1.0,0.0,1
89,-16108.927999999984,720,0.41294967113388825,89.48286437988281,1.0,0.0,1
90,-18241.25199999998,720,0.40882017442254937,120.35552978515625,1.0,0.0,3
91,-15400.441999999985,720,0.4047319726783239,3013.893310546875,1.0,0.0,2
92,-14819.227999999977,720,0.40068465295154065,67.91787719726562,1.0,29.099999999999998,3
93,-14869.777999999997,720,0.39667780642202527,107.67172241210938,1.0,0.0,2
94,-14859.10399999998,720,0.392711028357805,80.83201599121094,1.0,0.0,2
95,-17001.847999999987,720,0.38878391807422696,84.23416137695312,1.0,0.0,0
96,-15740.279999999988,720,0.3848960788934847,181.9288330078125,1.0,0.0,1
97,-17438.35999999999,720,0.38104711810454983,145.11196899414062,1.0,0.0,2
98,-16044.573999999977,720,0.37723664692350434,86.60884857177734,1.0,0.0,0
99,-15150.293999999976,720,0.37346428045426927,125.30805969238281,1.0,0.0,3
100,-17120.935999999994,720,0.36972963764972655,128.580078125,1.0,0.0,0
